LandContour,GarageYrBlt,FullBath,1stFlrSF,BsmtFinSF1,TotRmsAbvGrd,ExterQual,OpenPorchSF,Heating,Condition2,OverallQual,GarageCars,KitchenQual,KitchenAbvGr,GrLivArea,2ndFlrSF,CentralAir,BsmtQual,TotalBsmtSF,Fireplaces,SalePrice
Lvl,1967.0,2,1296,0,6,TA,0,GasA,Norm,4,2,TA,2,1296,0,Y,,0,0,90000
Lvl,2004.0,1,1114,646,6,TA,102,GasA,Norm,5,2,Gd,1,1114,0,Y,TA,1114,0,159000
Lvl,1958.0,1,1339,504,6,TA,0,GasA,Norm,5,1,TA,1,1339,0,Y,TA,1029,0,139000
Lvl,2005.0,3,1158,0,9,Gd,154,GasA,Norm,8,3,Gd,1,2376,1218,Y,Ex,1158,1,325300
Bnk,1930.0,1,1108,0,6,TA,0,GasA,Norm,7,1,Gd,1,1108,0,Y,TA,637,1,139400
Lvl,2002.0,2,1795,0,7,Gd,159,GasA,Norm,8,2,Gd,1,1795,0,Y,Gd,1777,1,230000
Lvl,1976.0,1,1060,840,6,TA,110,GasA,Norm,5,2,TA,1,1060,0,Y,Gd,1040,1,129900
Lvl,1968.0,1,1060,188,6,TA,90,GasA,Norm,5,1,Gd,1,1060,0,Y,TA,1060,1,154000
Lvl,2007.0,2,1600,0,7,Gd,56,GasA,Norm,8,3,Gd,1,1600,0,Y,Gd,1566,1,256300
Lvl,2005.0,1,900,234,5,TA,32,GasA,Norm,5,2,Gd,1,900,0,Y,TA,900,0,134800
Lvl,2008.0,2,1704,1218,7,Gd,50,GasA,Norm,8,3,Gd,1,1704,0,Y,Ex,1704,1,306000
Lvl,1957.0,1,1600,1277,6,TA,258,GasA,Norm,5,1,TA,1,1600,0,Y,TA,1484,2,207500
Lvl,1920.0,1,520,0,4,TA,0,GasA,RRNn,4,1,Fa,1,520,0,N,TA,520,0,68500
Lvl,1920.0,1,649,0,6,TA,54,GasA,Norm,4,1,TA,1,1317,668,N,TA,649,0,40000
Lvl,1966.0,1,1228,0,6,TA,65,GasA,Norm,5,1,Gd,1,1228,0,Y,TA,1228,0,149350
Lvl,2007.0,2,1234,0,7,Gd,30,GasA,Norm,8,2,Gd,1,1234,0,Y,Ex,1234,0,179900
Lvl,1959.0,1,1700,1018,6,TA,38,GasA,Norm,5,2,Gd,1,1700,0,Y,TA,1398,1,165500
Lvl,2005.0,2,1561,1153,6,Ex,47,GasA,Norm,9,2,Ex,1,1561,0,Y,Ex,1561,1,277500
Lvl,2004.0,3,1132,0,9,Gd,32,GasA,Norm,8,3,Gd,1,2452,1320,Y,Ex,1117,1,309000
Lvl,1995.0,1,1097,0,6,TA,64,GasA,Norm,5,2,TA,1,1097,0,Y,Gd,1097,0,145000
Lvl,1954.0,1,1297,1213,5,TA,0,GasA,Norm,5,2,TA,1,1297,0,Y,TA,1297,1,153000
Lvl,1953.0,1,1057,731,5,TA,52,GasA,Norm,5,1,Gd,1,1057,0,Y,TA,1057,0,109000
Lvl,,2,1152,0,6,TA,0,GasA,Norm,4,0,Fa,2,1152,0,N,,0,0,82000
Lvl,1965.0,2,1324,643,6,TA,138,GasA,Norm,6,2,TA,1,1324,0,Y,TA,1088,1,160000
Lvl,1959.0,1,1328,967,5,TA,104,GasA,Norm,5,1,TA,1,1328,0,Y,TA,1350,2,170000
Lvl,1983.0,1,884,747,5,TA,0,GasA,Norm,5,2,Gd,1,884,0,Y,Gd,840,0,144000
Lvl,1977.0,1,938,280,5,TA,0,GasA,Norm,5,1,TA,1,938,0,Y,Gd,938,0,130250
Lvl,1959.0,1,1150,179,6,TA,0,GasA,Norm,5,1,TA,1,1150,0,Y,TA,1150,0,141000
Lvl,2005.0,2,1752,456,6,Ex,82,GasA,Norm,9,2,Ex,1,1752,0,Y,Ex,1752,1,319900
Lvl,2003.0,1,1518,1351,6,Gd,43,GasA,Norm,7,2,Gd,1,2149,631,Y,Ex,1434,1,239686
Lvl,2006.0,2,1656,24,7,Gd,146,GasA,Norm,8,3,Gd,1,1656,0,Y,Gd,1656,0,249700
Lvl,,2,736,0,8,TA,0,GasA,Norm,4,0,TA,3,1452,716,Y,TA,736,0,113000
Lvl,1966.0,1,955,763,6,TA,0,GasA,Norm,5,1,TA,1,955,0,Y,TA,955,0,127000
Lvl,1997.0,2,794,182,6,TA,75,GasA,Norm,6,2,TA,1,1470,676,Y,Gd,794,0,177000
Lvl,1985.0,1,816,0,6,TA,0,GasA,Norm,6,2,TA,1,1176,0,Y,TA,816,1,114500
Bnk,1963.0,1,816,104,5,Fa,0,GasA,Norm,5,2,TA,1,816,0,N,Gd,816,0,110000
Low,1981.0,0,1842,1810,5,Gd,72,GasA,Norm,9,3,Gd,1,1842,0,Y,Ex,1842,1,385000
Bnk,1962.0,1,1360,384,6,TA,50,GasA,Norm,5,2,TA,1,1360,0,Y,TA,384,1,130000
Lvl,1964.0,2,1425,490,7,TA,0,GasA,Norm,6,2,TA,1,1425,0,Y,TA,1425,1,180500
Lvl,1999.0,2,983,649,7,Gd,0,GasA,Norm,8,2,Gd,1,1739,756,Y,Gd,970,0,172500
Lvl,2004.0,2,860,0,7,Gd,70,GasA,Norm,7,2,Gd,1,1720,860,Y,Gd,860,0,196500
HLS,2006.0,3,1426,0,10,Ex,0,GasA,Norm,10,3,Gd,1,2945,1519,Y,Ex,1410,1,438780
Bnk,1973.0,1,780,632,4,TA,0,GasA,Norm,5,1,TA,1,780,0,Y,TA,780,0,124900
Lvl,2006.0,1,1158,941,5,TA,50,GasA,Norm,6,2,Gd,1,1158,0,Y,Gd,1158,0,158000
Lvl,1935.0,1,581,0,6,TA,0,GasA,Norm,5,1,Fa,1,1111,530,N,TA,530,0,101000
Lvl,2006.0,2,1370,24,6,Gd,49,GasA,Norm,8,2,Gd,1,1370,0,Y,Gd,1370,1,202500
Bnk,1990.0,2,902,0,9,TA,11,GasA,Feedr,7,2,TA,1,1710,808,Y,TA,576,0,140000
Lvl,1998.0,2,1057,739,8,TA,36,GasA,Norm,7,2,Gd,1,2034,977,Y,Gd,1057,0,219500
Lvl,2004.0,2,1143,0,9,Gd,151,GasA,Norm,8,3,Gd,1,2473,1330,Y,Ex,1143,1,317000
Lvl,1970.0,2,2207,912,7,TA,0,GasA,Norm,7,2,TA,1,2207,0,Y,Gd,1947,1,180000
Lvl,2003.0,2,1479,1013,7,Gd,29,GasA,Norm,7,2,Gd,1,1479,0,Y,Gd,1453,0,226000
Lvl,1945.0,1,747,0,4,TA,0,GasA,Norm,4,1,TA,1,747,0,Y,TA,747,0,80000
Lvl,1953.0,2,1304,603,7,Gd,21,GasW,Norm,7,2,TA,1,2287,983,Y,TA,1304,1,225000
Lvl,1973.0,2,2223,1880,8,TA,0,GasA,Norm,7,2,TA,1,2223,0,Y,Gd,2223,2,244000
Lvl,1987.0,1,845,565,4,TA,0,GasA,Norm,4,2,TA,1,845,0,Y,TA,845,0,129500
Lvl,1998.0,2,885,0,7,TA,94,GasA,Norm,7,2,TA,1,1718,833,Y,Gd,832,1,185000
Lvl,1989.0,1,1086,320,6,TA,0,GasA,Norm,5,2,TA,1,1086,0,Y,TA,1086,0,144900
Lvl,1915.0,2,840,0,8,Gd,0,GasA,Norm,3,1,TA,2,1605,765,N,Fa,840,0,107400
Lvl,1973.0,1,526,462,5,TA,101,GasA,Norm,4,1,TA,1,988,462,Y,Gd,462,0,91000
Lvl,1956.0,1,952,228,4,TA,0,GasA,Norm,4,1,TA,1,952,0,Y,TA,952,0,135750
Lvl,1948.0,1,1072,336,6,TA,0,GasA,Norm,5,1,TA,1,1285,213,Y,TA,672,0,127000
Lvl,,2,1768,0,8,TA,0,GasA,Norm,4,0,TA,2,1768,0,N,TA,1768,0,136500
Lvl,1966.0,1,682,0,5,TA,0,GasA,Norm,5,2,TA,1,1230,548,Y,TA,440,0,110000
Lvl,1968.0,2,1182,448,8,TA,72,GasA,Norm,6,1,Gd,1,2142,960,Y,Gd,896,1,193500
Lvl,1998.0,2,1337,1201,5,TA,199,GasA,Norm,6,2,TA,1,1337,0,Y,Ex,1237,0,153500
Lvl,2007.0,2,1563,33,6,TA,99,GasA,Norm,8,3,Gd,1,1563,0,Y,Gd,1563,1,245000
Lvl,1974.0,1,1065,0,6,TA,0,GasA,Norm,5,2,TA,1,1065,0,Y,TA,1065,0,126500
Lvl,1995.0,2,804,0,7,TA,72,GasA,Norm,7,2,TA,1,1474,670,Y,Gd,384,1,168500
Lvl,1991.0,2,1301,0,9,Gd,82,GasA,Norm,8,2,Gd,1,2417,1116,Y,Gd,1288,1,260000
Lvl,2005.0,2,684,0,6,Gd,38,GasA,Norm,6,2,Gd,1,1560,876,Y,Gd,684,1,174000
Lvl,2009.0,2,612,0,4,Gd,234,GasA,Norm,6,2,Gd,1,1224,612,Y,Gd,612,0,164500
Lvl,,1,1013,0,6,Fa,0,GasA,Feedr,3,0,Fa,1,1526,0,N,TA,1013,0,85000
Lvl,,1,990,588,5,TA,0,GasA,Norm,4,0,TA,1,990,0,Y,Gd,990,0,123600
Lvl,1950.0,1,1040,0,4,TA,29,GasA,Norm,4,2,TA,1,1040,0,Y,,0,0,109900
Lvl,1961.0,1,1235,600,6,TA,0,GasA,Norm,5,2,TA,1,1235,0,Y,TA,1235,0,98600
HLS,1921.0,1,964,713,5,TA,0,GasA,Norm,5,2,TA,1,964,0,Y,Gd,876,0,163500
Lvl,1900.0,2,1260,1046,9,TA,0,GasW,Norm,6,2,TA,2,2291,1031,N,TA,1214,1,133900
Lvl,1997.0,2,905,648,7,TA,162,GasA,Norm,6,2,Gd,1,1786,881,Y,Gd,824,0,204750
Lvl,1993.0,2,680,310,6,Ex,63,GasA,Norm,6,2,TA,1,1470,790,Y,Gd,680,1,185000
Lvl,1999.0,2,1588,1162,6,Gd,29,GasA,Norm,7,2,Gd,1,1588,0,Y,Gd,1588,0,214000
HLS,1965.0,1,960,520,6,TA,0,GasA,Norm,4,1,TA,1,960,0,Y,TA,960,0,94750
Lvl,1920.0,1,835,108,5,TA,0,GasA,Norm,5,1,TA,1,835,0,N,TA,458,0,83000
Lvl,,1,1225,569,6,TA,0,GasA,Norm,4,0,TA,1,1225,0,Y,TA,950,0,128950
Lvl,1977.0,2,1610,1200,6,TA,68,GasA,Norm,6,2,Gd,1,1610,0,Y,TA,1610,2,205000
Lvl,1985.0,2,977,0,7,Gd,46,GasA,Norm,6,2,Gd,1,1732,755,Y,Gd,741,1,178000
Bnk,1979.0,2,1535,0,8,TA,0,GasA,Norm,5,2,TA,2,1535,0,Y,,0,0,118964
Lvl,2009.0,2,1226,0,6,TA,36,GasA,Norm,7,3,Gd,1,1226,0,Y,Gd,1226,0,198900
Lvl,1951.0,1,1226,224,7,TA,0,GasA,Norm,7,1,TA,1,1818,592,Y,TA,1040,2,169500
Lvl,2003.0,2,1053,0,9,Gd,45,GasA,Norm,8,2,Gd,1,1992,939,Y,Ex,1053,1,250000
Lvl,1954.0,1,1047,0,6,TA,0,GasA,Norm,4,1,TA,1,1047,0,Y,Fa,641,0,100000
Lvl,1948.0,1,789,104,5,TA,0,GasA,Norm,5,1,TA,1,789,0,Y,TA,789,0,115000
Lvl,,2,997,0,7,TA,0,GasW,Norm,5,0,Fa,1,1517,520,N,TA,793,0,115000
Lvl,1977.0,2,1844,705,7,TA,122,GasA,Norm,6,2,TA,1,1844,0,Y,Gd,1844,1,190000
Lvl,1954.0,2,1216,444,7,TA,0,GasA,Norm,6,1,TA,1,1855,639,Y,TA,994,0,136900
Lvl,2000.0,2,774,250,7,TA,0,GasA,Norm,7,2,TA,1,1430,656,Y,Gd,384,1,180000
Lvl,2007.0,2,1282,984,10,Gd,184,GasA,Norm,7,3,Ex,1,2696,1414,Y,Ex,1264,1,383970
Bnk,1953.0,2,2259,35,7,TA,120,GasA,Norm,6,2,Gd,1,2259,0,Y,Gd,1809,2,217000
Lvl,1945.0,2,1436,774,9,TA,0,GasA,Norm,6,1,Gd,1,2320,884,Y,TA,1028,1,259500
Lvl,1999.0,2,729,419,5,TA,32,GasA,Norm,6,2,TA,1,1458,729,Y,Gd,729,1,176000
Lvl,1962.0,1,1092,170,6,TA,20,GasA,Norm,5,1,TA,1,1092,0,Y,TA,1092,1,139000
Lvl,2007.0,1,1125,0,5,TA,64,GasA,Norm,5,2,TA,1,1125,0,Y,Gd,1125,0,155000
Lvl,1990.0,3,1699,1470,11,TA,0,GasA,Norm,7,3,Gd,1,3222,1523,Y,Gd,1673,2,320000
Lvl,2005.0,2,728,0,8,Gd,24,GasA,Norm,6,2,Gd,1,1456,728,Y,Gd,728,1,163990
Low,1969.0,1,988,938,4,TA,130,GasA,Norm,6,2,TA,1,988,0,Y,TA,938,2,180000
Lvl,1979.0,1,772,0,4,TA,0,GasA,Norm,4,1,TA,1,1123,351,Y,TA,732,0,100000
Lvl,1958.0,1,1080,570,5,TA,0,GasA,Norm,6,1,TA,1,1080,0,Y,TA,1080,0,136000
Lvl,1993.0,2,1199,300,5,Gd,63,GasA,Norm,6,2,Gd,1,1199,0,Y,Gd,1199,0,153900
Lvl,1979.0,2,1586,0,7,TA,0,GasA,Norm,6,2,TA,1,1586,0,Y,Gd,1362,1,181000
Lvl,,1,520,490,5,TA,0,GasA,Norm,6,0,TA,1,754,0,N,TA,520,0,84500
Lvl,1977.0,2,958,120,5,TA,205,GasA,Norm,6,2,TA,1,958,0,Y,Gd,1078,1,128000
Bnk,,1,840,116,5,TA,0,GasA,Norm,5,0,TA,1,840,0,Y,TA,672,1,87000
Lvl,1966.0,1,660,512,6,TA,108,GasA,Norm,6,2,TA,1,1348,688,Y,TA,660,1,155000
Lvl,1998.0,1,1053,567,6,TA,80,GasA,Norm,5,2,Ex,1,1053,0,Y,TA,1008,0,150000
Lvl,1966.0,2,1216,445,8,TA,66,GasA,Norm,7,2,Gd,1,2157,941,Y,TA,924,2,226000
Lvl,2000.0,2,1022,695,7,Gd,48,GasA,Norm,6,2,Gd,1,2054,1032,Y,Gd,992,1,244000
Lvl,1974.0,1,1327,405,7,TA,0,GasA,Norm,5,2,Gd,1,1327,0,Y,TA,1063,0,150750
Lvl,2001.0,2,1296,1005,6,Gd,25,GasA,Norm,8,2,Gd,1,1296,0,Y,Ex,1267,0,220000
Lvl,1968.0,2,1721,570,7,TA,96,GasA,Norm,5,2,TA,1,1721,0,Y,TA,1461,1,180000
Lvl,1970.0,2,1682,0,7,TA,0,GasA,Norm,7,2,TA,1,1682,0,Y,TA,1304,1,174000
Lvl,1967.0,2,1214,695,5,TA,111,GasA,Norm,5,1,TA,1,1214,0,Y,TA,1214,1,143000
Lvl,1989.0,3,1959,0,9,TA,0,GasA,Norm,7,3,TA,2,1959,0,Y,TA,1907,0,171000
Lvl,1999.0,2,1004,668,7,Gd,106,GasA,Norm,8,3,Gd,1,1852,848,Y,Gd,1004,2,230000
Lvl,1997.0,2,928,821,7,TA,99,GasA,Norm,6,2,Gd,1,1764,836,Y,Gd,928,0,231500
Lvl,,1,864,432,5,TA,0,GasA,Norm,4,0,TA,1,864,0,Y,TA,864,1,115000
Lvl,2005.0,2,1734,1300,7,Gd,24,GasA,Norm,7,2,Gd,1,1734,0,Y,Gd,1734,0,260000
Lvl,2000.0,2,910,507,6,TA,0,GasA,Norm,5,2,TA,1,1385,475,Y,TA,910,0,166000
Lvl,1999.0,2,1501,679,6,Gd,29,GasA,Norm,7,2,Gd,1,1501,0,Y,Gd,1490,0,204000
Lvl,1963.0,2,1728,1332,10,TA,0,GasA,Norm,5,2,TA,2,1728,0,Y,TA,1728,0,125000
Lvl,2004.0,2,970,0,7,Gd,40,GasA,Norm,6,2,Gd,1,1709,739,Y,Gd,970,0,130000
Lvl,1931.0,1,875,209,5,TA,0,GasA,Norm,5,1,TA,1,875,0,Y,TA,715,0,105000
Lvl,2001.0,2,884,0,8,Gd,48,GasA,Norm,7,2,Gd,1,2035,1151,Y,Gd,884,1,222500
Lvl,,1,1080,680,6,TA,0,GasA,Norm,7,0,Gd,1,1080,0,Y,Gd,1080,0,141000
Lvl,1936.0,1,896,0,7,TA,114,GasA,Norm,5,1,TA,1,1344,448,Y,Gd,896,0,115000
Lvl,1975.0,1,969,716,5,TA,0,GasA,Norm,5,2,TA,1,969,0,Y,TA,969,0,122000
Lvl,2007.0,2,1710,1400,6,Gd,102,GasA,Norm,8,3,Gd,1,1710,0,Y,Ex,1710,1,372402
Lvl,1971.0,2,1097,416,8,TA,66,GasA,Norm,6,2,TA,1,1993,896,Y,TA,825,1,190000
Lvl,1960.0,1,1252,429,4,TA,0,GasA,Norm,6,2,TA,1,1252,0,Y,Gd,1602,1,235000
Lvl,1923.0,1,1200,0,7,TA,0,GasA,Norm,6,1,TA,1,1200,0,Y,TA,1200,0,125000
Lvl,,1,572,0,5,TA,8,Grav,Norm,6,0,TA,1,1096,524,N,TA,572,0,79000
Lvl,1950.0,1,1040,0,5,TA,0,GasA,Norm,5,2,TA,1,1040,0,Y,,0,0,109500
Lvl,2009.0,2,774,0,8,Gd,75,GasA,Norm,8,3,Ex,1,1968,1194,Y,Ex,774,1,269500
Lvl,2004.0,2,991,222,8,Gd,136,GasA,Norm,7,2,Gd,1,1947,956,Y,Gd,991,1,254900
HLS,2006.0,2,1392,57,9,Gd,132,GasA,Norm,7,2,Gd,1,2462,1070,Y,Gd,1392,1,320000
Lvl,1984.0,2,1232,660,6,TA,0,GasA,Norm,6,2,TA,1,1232,0,Y,Gd,1232,0,162500
Lvl,2003.0,2,1572,1016,10,Gd,0,GasA,Norm,9,3,Ex,1,2668,1096,Y,Ex,1572,2,412500
Lvl,2005.0,2,1541,1201,7,Gd,70,GasA,Norm,7,2,Gd,1,1541,0,Y,Gd,1541,1,220000
Lvl,,1,882,0,4,TA,0,GasA,Norm,4,0,TA,1,882,0,Y,TA,882,0,103200
Lvl,1926.0,2,1149,370,5,TA,0,GasA,Norm,6,1,Gd,1,1616,467,Y,TA,1149,0,152000
Lvl,,2,808,351,6,TA,0,GasA,Norm,5,0,TA,2,1355,547,Y,TA,644,0,127500
Lvl,1955.0,1,1867,379,7,Gd,0,GasA,Norm,5,1,TA,1,1867,0,Y,TA,1617,3,190000
Lvl,2007.0,1,1610,1288,8,Gd,120,GasA,Norm,8,3,Ex,1,2161,551,Y,Ex,1582,1,325624
Lvl,2004.0,2,840,0,7,Gd,48,GasA,Norm,7,2,Gd,1,1720,880,Y,Gd,840,1,183500
Lvl,1981.0,2,1707,0,6,Gd,64,GasA,Norm,8,2,TA,1,1707,0,Y,Gd,1686,1,228000
Lvl,1991.0,1,854,360,7,TA,0,GasA,Norm,5,2,TA,1,1382,0,Y,TA,720,0,128500
Lvl,1960.0,1,1656,639,7,TA,62,GasA,Norm,6,2,TA,1,1656,0,Y,TA,1080,2,215000
Lvl,1987.0,2,1064,495,5,Gd,35,GasA,Norm,7,2,Gd,1,1767,703,Y,Gd,1064,1,239000
Lvl,1961.0,1,1362,288,6,TA,20,GasA,Norm,6,2,TA,1,1362,0,Y,TA,1362,1,163000
Lvl,1986.0,2,1651,1398,7,TA,0,GasA,Norm,6,2,TA,1,1651,0,Y,Gd,1606,1,184000
Lvl,1950.0,2,2158,477,7,TA,29,GasA,Norm,6,2,Gd,1,2158,0,Y,TA,1202,1,243000
Lvl,1988.0,2,1164,831,8,Gd,228,GasA,Norm,6,2,TA,1,2060,896,Y,Gd,1151,1,211000
Lvl,1958.0,2,1252,57,8,Gd,0,GasA,Norm,5,2,Gd,1,1920,668,Y,TA,1052,1,172500
Lvl,2009.0,2,2234,1904,9,Ex,60,GasA,Norm,9,3,Ex,1,2234,0,Y,Ex,2216,1,501837
Lvl,1935.0,1,968,0,5,Gd,0,GasA,Norm,5,2,TA,1,968,0,Y,TA,968,0,100000
Lvl,2000.0,2,769,436,5,Gd,0,GasA,Norm,6,2,Gd,1,1525,756,Y,Gd,756,1,177000
Lvl,1920.0,1,901,352,9,TA,0,GasA,Norm,7,1,TA,1,1802,901,Y,Fa,793,1,200100
Lvl,1957.0,1,1340,0,7,TA,0,GasA,Norm,5,1,TA,1,1340,0,Y,,0,1,120000
Lvl,2003.0,2,1362,0,6,TA,238,GasA,Norm,7,2,Gd,1,2082,720,Y,Gd,1362,0,200000
Lvl,1986.0,1,936,0,5,TA,0,GasA,Feedr,5,2,TA,1,1252,316,Y,Fa,504,0,127000
Lvl,1993.0,2,1518,0,12,Gd,260,GasA,Norm,10,3,Ex,1,3608,1518,Y,TA,1107,2,475000
Lvl,1990.0,2,1217,611,6,TA,27,GasA,Norm,7,2,Gd,1,1217,0,Y,Gd,1188,0,173000
Lvl,1916.0,2,808,0,8,TA,0,GasA,Norm,5,1,TA,1,1656,704,Y,Fa,660,0,135000
Bnk,1979.0,0,1224,1086,6,TA,0,GasA,Norm,5,2,TA,2,1224,0,Y,Gd,1086,2,153337
Lvl,2001.0,1,1593,1153,5,Gd,120,GasA,Norm,8,2,Ex,1,1593,0,Y,Ex,1593,1,286000
Bnk,1932.0,2,1549,297,10,Gd,74,GasA,Norm,8,2,Gd,1,2727,1178,Y,Gd,853,2,315000
Lvl,1972.0,1,725,626,7,TA,32,GasA,Norm,7,2,Gd,1,1479,754,Y,TA,725,0,184000
Lvl,1999.0,2,1431,560,6,Gd,35,GasA,Norm,7,2,Gd,1,1431,0,Y,Gd,1431,0,192000
Lvl,2004.0,2,970,0,7,Gd,40,GasA,Norm,7,2,Gd,1,1709,739,Y,Gd,970,0,130000
Lvl,1989.0,1,864,390,5,TA,0,GasA,Norm,5,1,TA,1,864,0,Y,TA,864,0,127000
Lvl,1976.0,2,855,566,7,TA,0,GasA,Norm,6,2,TA,1,1456,601,Y,Gd,855,1,148500
Lvl,2007.0,2,1726,1126,8,Ex,138,GasA,Norm,7,3,Ex,1,1726,0,Y,Ex,1726,1,311872
Lvl,1918.0,2,1360,1036,8,Gd,16,GasA,Norm,8,2,Gd,1,3112,1360,Y,TA,1360,1,235000
Lvl,,1,929,0,8,TA,198,GasA,Norm,6,0,TA,1,2229,929,Y,TA,755,0,104000
Lvl,2004.0,2,1713,1088,7,Gd,26,GasA,Norm,8,3,Ex,1,1713,0,Y,Ex,1713,1,274900
Lvl,2003.0,2,1121,0,5,TA,64,GasA,Norm,4,2,TA,1,1121,0,Y,Gd,1121,0,140000
Lvl,1980.0,2,1279,641,6,TA,83,GasA,Norm,6,2,TA,1,1279,0,Y,TA,1196,2,171500
Lvl,1924.0,2,865,617,6,TA,0,GasA,Norm,6,1,TA,1,1310,445,Y,Fa,617,0,112000
Lvl,2004.0,1,848,662,3,Gd,0,GasA,Norm,6,2,Gd,1,848,0,Y,Gd,848,1,149000
Lvl,1948.0,1,720,312,5,TA,35,GasA,Norm,5,1,TA,1,1284,564,Y,TA,720,0,110000
Lvl,1990.0,2,1442,0,5,TA,34,GasA,Norm,7,2,TA,1,1442,0,Y,Gd,1424,0,180500
Lvl,1962.0,1,1696,0,8,TA,30,GasA,Norm,5,1,TA,1,1696,0,Y,TA,1140,1,143900
Lvl,1960.0,1,1100,419,6,TA,0,GasA,Norm,4,1,TA,1,1100,0,Y,TA,1100,1,141000
Low,1988.0,2,1180,1065,7,Gd,55,GasA,Norm,7,2,TA,1,2062,882,Y,Gd,1157,1,277000
Lvl,1964.0,1,1092,787,6,TA,0,GasA,Norm,6,2,TA,1,1092,0,Y,Gd,1092,0,145000
Lvl,,1,864,468,5,TA,0,GasA,Norm,5,0,TA,1,864,0,N,TA,864,0,98000
Lvl,2009.0,2,1212,36,6,TA,22,GasA,Norm,6,2,Gd,1,1212,0,Y,Gd,1212,0,186000
Lvl,2009.0,2,932,822,7,TA,108,GasA,Norm,7,2,Gd,1,1852,920,Y,Gd,900,1,252678
Lvl,1996.0,1,990,716,5,TA,0,GasA,Norm,5,2,TA,1,990,0,Y,Gd,990,0,156000
Lvl,1977.0,1,689,378,6,TA,36,GasA,Norm,6,1,TA,1,1392,703,Y,Gd,689,0,161750
Lvl,1957.0,1,1236,360,6,TA,0,GasA,Norm,5,1,Gd,1,1236,0,Y,TA,1070,1,134450
Lvl,2004.0,2,1436,946,8,Gd,98,GasA,Norm,7,2,Gd,1,1436,0,Y,Gd,1436,0,210000
Lvl,1940.0,1,810,0,8,TA,172,GasA,Norm,4,1,TA,1,1328,518,N,TA,686,0,107000
Lvl,1939.0,1,1137,341,8,Gd,119,GasA,Norm,7,2,Gd,1,1954,817,Y,TA,798,2,311500
Lvl,2005.0,2,1248,16,5,Gd,0,GasA,Norm,7,2,Gd,1,1248,0,Y,Gd,1248,0,167240
Lvl,2006.0,2,1498,0,5,Gd,33,GasA,Norm,7,2,Gd,1,1498,0,Y,Gd,1498,0,204900
Lvl,2002.0,2,1010,0,8,Gd,46,GasA,Norm,6,2,Gd,1,2267,1257,Y,Gd,1010,1,200000
Lvl,1975.0,2,811,550,6,TA,208,GasA,Norm,6,2,TA,1,1552,741,Y,Gd,713,1,179900
Lvl,1989.0,1,864,524,4,TA,0,GasA,Norm,4,2,TA,1,864,0,Y,TA,864,0,97000
Lvl,2003.0,2,2392,56,8,Ex,105,GasA,Norm,10,3,Ex,1,2392,0,Y,Ex,2392,1,386250
Lvl,1991.0,2,630,0,6,TA,0,GasA,Norm,5,1,TA,1,1302,672,Y,TA,630,0,112000
Lvl,1995.0,2,1214,565,9,Gd,114,GasA,Norm,7,3,Gd,1,2520,1306,Y,Gd,1203,1,290000
